timestamps,TP9,AF7,AF8,TP10,Right AUX
1746583604.551,-1000.000,-250.000,-121.094,-1000.000,0.000
1746583604.555,-358.887,-83.984,-70.801,-312.012,0.000
1746583604.559,-844.238,211.914,44.922,-825.684,0.000
1746583604.563,485.840,100.098,13.672,439.941,0.000
1746583604.567,-1000.000,-194.824,-104.492,-1000.000,0.000
1746583604.571,-888.672,-186.523,-89.844,-785.645,0.000
1746583604.575,677.734,111.328,14.160,811.035,0.000
1746583604.578,980.957,146.484,24.414,917.969,0.000
1746583604.582,-510.254,-178.711,-68.359,-589.844,0.000
1746583604.586,-1000.000,-250.488,-94.727,-1000.000,0.000
1746583604.590,-31.250,47.363,0.000,62.012,0.000
1746583604.594,-801.758,215.332,50.293,-795.410,0.000
1746583604.598,87.402,-46.387,-45.898,38.574,0.000
1746583604.602,-1000.000,-238.770,-114.258,-1000.000,0.000
1746583604.606,-246.582,-17.578,-41.504,-242.676,0.000
1746583604.610,-816.406,224.121,44.922,-815.918,0.000
1746583604.614,242.676,7.812,-29.785,241.699,0.000
1746583604.618,-1000.000,-289.062,-120.117,-1000.000,0.000
1746583604.621,-536.133,-169.922,-72.266,-464.355,0.000
1746583604.625,-933.105,148.438,27.344,-894.043,0.000
1746583604.629,606.445,119.141,16.113,560.059,0.000
1746583604.633,-977.051,-186.523,-89.844,-1000.000,0.000
1746583604.637,-1000.000,-198.242,-87.891,-928.223,0.000
1746583604.641,437.988,89.844,20.020,565.918,0.000
1746583604.645,-835.449,185.547,47.363,-877.930,0.000
1746583604.649,-178.711,-75.195,-62.500,-269.531,0.000
1746583604.653,-1000.000,-224.609,-138.672,-1000.000,0.000
1746583604.657,-144.043,-20.508,-44.922,-54.199,0.000
1746583604.661,-799.316,173.340,42.969,-786.621,0.000
1746583604.664,222.656,-46.875,-45.898,186.035,0.000
1746583604.668,-1000.000,-285.156,-122.559,-1000.000,0.000
1746583604.672,-266.113,-78.125,-51.270,-261.719,0.000
1746583604.676,-808.105,185.059,41.992,-807.617,0.000
1746583604.680,306.641,33.691,-12.207,277.832,0.000
1746583604.684,-1000.000,-229.980,-128.418,-1000.000,0.000
1746583604.688,-615.234,-133.301,-95.703,-543.457,0.000
1746583604.692,993.652,169.922,29.297,-954.102,0.000
1746583604.696,771.973,148.926,20.020,707.031,0.000
1746583604.700,-765.625,-156.738,-108.398,-851.074,0.000
1746583604.703,-1000.000,-204.102,-112.305,-1000.000,0.000
1746583604.707,200.195,75.684,-1.465,333.984,0.000
1746583604.711,-805.176,184.082,39.551,-820.801,0.000
1746583604.715,-79.102,-113.770,-41.992,-146.484,0.000
1746583604.719,-1000.000,-263.184,-103.027,-1000.000,0.000
1746583604.723,-226.562,-7.324,-30.762,-166.016,0.000
1746583604.727,-816.406,182.617,43.945,-802.734,0.000
1746583604.731,236.328,-21.484,-31.738,226.562,0.000
1746583604.735,-1000.000,-232.910,-131.836,-1000.000,0.000
1746583604.739,-331.543,-76.172,-84.961,-281.738,0.000
1746583604.743,-832.031,198.730,28.320,-813.477,0.000
1746583604.746,428.223,84.961,2.441,387.207,0.000
1746583604.750,-1000.000,-204.102,-107.910,-1000.000,0.000
1746583604.754,-756.836,-153.809,-85.938,-667.969,0.000
1746583604.758,844.727,137.207,21.973,940.430,0.000
1746583604.762,905.762,149.414,23.926,844.727,0.000
1746583604.766,-613.281,-152.832,-86.914,-687.012,0.000
1746583604.770,-1000.000,-215.820,-112.793,-1000.000,0.000
1746583604.774,108.398,64.453,3.906,194.336,0.000
1746583604.778,-786.133,199.707,48.340,-791.016,0.000
1746583604.782,60.547,-63.477,-65.918,7.812,0.000
1746583604.786,-1000.000,-263.184,-133.789,-1000.000,0.000
1746583604.789,-247.070,-22.461,-55.664,-237.793,0.000
1746583604.793,-813.965,233.398,29.297,-812.500,0.000
1746583604.797,240.234,3.418,-42.480,237.793,0.000
1746583604.801,-1000.000,-271.484,-136.230,-1000.000,0.000
1746583604.805,-444.824,-112.305,-74.707,-376.953,0.000
1746583604.809,-886.719,191.895,42.969,-854.980,0.000
1746583604.813,577.148,124.512,18.066,521.484,0.000
1746583604.817,-1000.000,-172.363,-91.309,-1000.000,0.000
1746583604.821,-943.848,-179.688,-83.984,-850.098,0.000
1746583604.825,593.262,100.098,14.160,724.121,0.000
1746583604.829,-946.289,159.668,27.832,995.605,0.000
1746583604.832,-398.926,-133.789,-62.012,-487.305,0.000
1746583604.836,-1000.000,-226.074,-103.516,-1000.000,0.000
1746583604.840,-61.523,59.570,-28.809,35.156,0.000
1746583604.844,-795.898,225.098,26.855,-787.109,0.000
1746583604.848,164.062,-39.062,-52.246,107.422,0.000
1746583604.852,-1000.000,-249.023,-112.793,-1000.000,0.000
1746583604.856,-256.348,-42.969,-45.898,-250.977,0.000
1746583604.860,-812.500,199.219,29.297,-812.500,0.000
1746583604.864,241.211,27.344,-15.137,241.211,0.000
1746583604.868,-1000.000,-229.980,-87.891,-1000.000,0.000
1746583604.871,-579.102,-118.652,-70.312,-504.395,0.000
1746583604.875,-971.680,180.664,14.160,-921.387,0.000
1746583604.879,678.711,141.113,14.160,620.117,0.000
1746583604.883,-906.738,-166.992,-103.516,-973.145,0.000
1746583604.887,-1000.000,-187.500,-120.605,-967.285,0.000
1746583604.891,382.324,101.562,1.465,513.184,0.000
1746583604.895,-827.637,186.035,40.527,-854.492,0.000
1746583604.899,-149.414,-87.891,-56.152,-208.984,0.000
1746583604.903,-1000.000,-232.910,-91.309,-1000.000,0.000
1746583604.907,-196.777,-3.418,-17.090,-115.723,0.000
1746583604.911,-811.035,207.520,36.133,-793.945,0.000
1746583604.914,229.492,-0.488,-32.715,219.727,0.000
1746583604.918,-1000.000,-246.094,-116.211,-1000.000,0.000
1746583604.922,-267.090,-65.430,-58.105,-266.113,0.000
1746583604.926,-809.082,230.469,36.621,-807.129,0.000
1746583604.930,345.215,92.773,-5.859,306.641,0.000
1746583604.934,-1000.000,-224.609,-100.586,-1000.000,0.000
1746583604.938,-728.516,-167.969,-69.824,-617.676,0.000
1746583604.942,892.090,148.926,28.320,-997.559,0.000
1746583604.946,808.105,139.648,14.160,736.816,0.000
1746583604.950,-740.234,-176.758,-96.191,-817.871,0.000
1746583604.954,-1000.000,-208.008,-113.281,-1000.000,0.000
1746583604.957,141.602,89.355,-5.371,242.676,0.000
1746583604.961,-800.293,214.355,35.156,-807.129,0.000
1746583604.965,-35.156,-80.078,-71.289,-83.984,0.000
1746583604.969,-1000.000,-263.672,-133.789,-1000.000,0.000
1746583604.973,-235.840,-21.484,-37.598,-208.984,0.000
1746583604.977,-817.383,220.703,52.246,-810.547,0.000
1746583604.981,239.258,41.016,-22.461,233.398,0.000
1746583604.985,-1000.000,-234.863,-115.234,-1000.000,0.000
